normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
glutathione sepharose 4b,GE Healthcare,Cat# 17-0756-01,22,"2017,2018,2019,2020,2021,2022,2023,2024","{""2017"": 1, ""2018"": 5, ""2019"": 7, ""2020"": 3, ""2021"": 1, ""2022"": 1, ""2023"": 3, ""2024"": 1}","{""2017"": 0.006173, ""2018"": 0.013193, ""2019"": 0.011885, ""2020"": 0.004594, ""2021"": 0.001339, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.002299}",0.005784,-0.00120449,,not_found
trolox,Sigma-Aldrich,238813,24,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 2, ""2021"": 2, ""2022"": 4, ""2023"": 3, ""2024"": 3, ""2025"": 5, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.002677, ""2022"": 0.00624, ""2023"": 0.005226, ""2024"": 0.006897, ""2025"": 0.009141, ""2026"": 0.012346}",0.00578,0.00077958,53188-07-1,name
sunflower seed oil,Sigma-Aldrich,Cat#S5007,8,"2019,2020,2021,2022,2024,2026","{""2019"": 1, ""2020"": 1, ""2021"": 1, ""2022"": 2, ""2024"": 1, ""2026"": 2}","{""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.001339, ""2022"": 0.00312, ""2024"": 0.002299, ""2026"": 0.024691}",0.00578,0.00276083,,not_found
rneasy mini kit,QIAGEN,Cat#74104,28,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 1, ""2019"": 5, ""2020"": 5, ""2021"": 4, ""2022"": 3, ""2023"": 5, ""2024"": 2, ""2025"": 2}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.008489, ""2020"": 0.007657, ""2021"": 0.005355, ""2022"": 0.00468, ""2023"": 0.008711, ""2024"": 0.004598, ""2025"": 0.003656}",0.005773,-0.00011203,,not_found
vectashield antifade mounting medium with dapi,Vector Laboratories,Cat# H-1200,19,"2017,2018,2019,2020,2021,2023,2024,2025,2026","{""2017"": 1, ""2018"": 4, ""2019"": 2, ""2020"": 2, ""2021"": 2, ""2023"": 1, ""2024"": 2, ""2025"": 4, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.010554, ""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.002677, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.007313, ""2026"": 0.012346}",0.005762,0.00023107,,not_found
superscript iii,Invitrogen,18080044,22,"2017,2018,2019,2020,2021,2022,2023,2024","{""2017"": 2, ""2018"": 1, ""2019"": 3, ""2020"": 7, ""2021"": 3, ""2022"": 2, ""2023"": 2, ""2024"": 2}","{""2017"": 0.012346, ""2018"": 0.002639, ""2019"": 0.005093, ""2020"": 0.01072, ""2021"": 0.004016, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.004598}",0.005752,-0.0007456,,not_found
latrunculin a,Sigma,L12370,22,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 4, ""2019"": 4, ""2020"": 1, ""2021"": 3, ""2022"": 2, ""2023"": 4, ""2024"": 2, ""2025"": 1, ""2026"": 1}","{""2018"": 0.010554, ""2019"": 0.006791, ""2020"": 0.001531, ""2021"": 0.004016, ""2022"": 0.00312, ""2023"": 0.006969, ""2024"": 0.004598, ""2025"": 0.001828, ""2026"": 0.012346}",0.00575,2.271e-05,76343-93-6,name
noggin,PeproTech,Cat#120-10C,23,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 1, ""2019"": 1, ""2020"": 5, ""2021"": 4, ""2022"": 5, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2017"": 0.012346, ""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.007657, ""2021"": 0.005355, ""2022"": 0.0078, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.005745,-7.721e-05,,not_found
n-acetylcysteine,Sigma-Aldrich,Cat# A9165,26,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 3, ""2019"": 1, ""2020"": 2, ""2021"": 4, ""2022"": 8, ""2023"": 2, ""2024"": 2, ""2025"": 4}","{""2018"": 0.007916, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.01248, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.007313}",0.005738,0.00022225,616-91-1,sigma_sid
ampicillin sodium salt,Sigma-Aldrich,Cat# A9518,26,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 3, ""2019"": 2, ""2020"": 3, ""2021"": 3, ""2022"": 3, ""2023"": 3, ""2024"": 2, ""2025"": 6}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.004016, ""2022"": 0.00468, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.010969}",0.00573,0.00021631,69-52-3,name
deoxyribonuclease i,Worthington,Cat# DN25,23,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 4, ""2020"": 3, ""2021"": 2, ""2022"": 1, ""2023"": 7, ""2024"": 3, ""2025"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.006791, ""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.012195, ""2024"": 0.006897, ""2025"": 0.001828, ""2026"": 0.012346}",0.005725,0.00063437,,not_found
fugene hd,Promega,Cat# E2311,25,"2017,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2019"": 6, ""2020"": 5, ""2021"": 2, ""2022"": 5, ""2023"": 2, ""2024"": 1, ""2025"": 3}","{""2017"": 0.006173, ""2019"": 0.010187, ""2020"": 0.007657, ""2021"": 0.002677, ""2022"": 0.0078, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.005484}",0.00572,-0.0005269,,not_found
β-estradiol,Sigma-Aldrich,Cat# E2758,24,"2017,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2019"": 5, ""2020"": 2, ""2021"": 2, ""2022"": 5, ""2023"": 4, ""2024"": 3, ""2025"": 2}","{""2017"": 0.006173, ""2019"": 0.008489, ""2020"": 0.003063, ""2021"": 0.002677, ""2022"": 0.0078, ""2023"": 0.006969, ""2024"": 0.006897, ""2025"": 0.003656}",0.005715,-9.676e-05,50-28-2,sigma_sid
"complete, mini, edta-free protease inhibitor cocktail",Roche,Cat# 11836170001,26,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 3, ""2019"": 4, ""2020"": 4, ""2021"": 4, ""2022"": 2, ""2023"": 2, ""2024"": 3, ""2025"": 3}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.006791, ""2020"": 0.006126, ""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.006897, ""2025"": 0.005484}",0.005705,-0.00025716,,not_found
bbsi-hf,NEB,Cat#R3539S,8,"2020,2021,2022,2023,2025,2026","{""2020"": 2, ""2021"": 1, ""2022"": 1, ""2023"": 1, ""2025"": 1, ""2026"": 2}","{""2020"": 0.003063, ""2021"": 0.001339, ""2022"": 0.00156, ""2023"": 0.001742, ""2025"": 0.001828, ""2026"": 0.024691}",0.005704,0.00260901,,not_found
rock inhibitor,Tocris,Y-27632,25,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 3, ""2019"": 2, ""2020"": 4, ""2021"": 2, ""2022"": 2, ""2023"": 6, ""2024"": 2, ""2025"": 4}","{""2018"": 0.007916, ""2019"": 0.003396, ""2020"": 0.006126, ""2021"": 0.002677, ""2022"": 0.00312, ""2023"": 0.010453, ""2024"": 0.004598, ""2025"": 0.007313}",0.0057,0.00018113,,not_found
dextran sulfate,Sigma-Aldrich,D8906,23,"2017,2018,2019,2020,2021,2022,2024,2025","{""2017"": 1, ""2018"": 2, ""2019"": 2, ""2020"": 3, ""2021"": 3, ""2022"": 3, ""2024"": 2, ""2025"": 7}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.004016, ""2022"": 0.00468, ""2024"": 0.004598, ""2025"": 0.012797}",0.005691,0.00052498,,not_found
advanced dmem/f12,Thermo Fisher Scientific,Cat# 12634-010,24,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 2, ""2020"": 4, ""2021"": 4, ""2022"": 3, ""2023"": 3, ""2024"": 1, ""2025"": 5, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.006126, ""2021"": 0.005355, ""2022"": 0.00468, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.009141, ""2026"": 0.012346}",0.00569,0.00080471,,not_found
syproorange,Thermo,Cat#S6651,8,"2021,2022","{""2021"": 5, ""2022"": 3}","{""2021"": 0.006693, ""2022"": 0.00468}",0.005687,,,not_found
nah 2 po 4,Sigma-Aldrich,Cat# 71505,25,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 3, ""2019"": 3, ""2020"": 5, ""2021"": 3, ""2022"": 1, ""2023"": 1, ""2024"": 5, ""2025"": 3}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.005093, ""2020"": 0.007657, ""2021"": 0.004016, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.011494, ""2025"": 0.005484}",0.005682,-8.028e-05,13472-35-0,sigma_sid
salmon sperm dna,Thermo Fisher Scientific,15632011,17,"2017,2018,2019,2021,2022,2023,2025,2026","{""2017"": 1, ""2018"": 2, ""2019"": 1, ""2021"": 3, ""2022"": 2, ""2023"": 1, ""2025"": 6, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.001698, ""2021"": 0.004016, ""2022"": 0.00312, ""2023"": 0.001742, ""2025"": 0.010969, ""2026"": 0.012346}",0.005668,0.00069425,,not_found
0.05% trypsin-edta,Gibco,Cat#25300054,23,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 3, ""2020"": 6, ""2021"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 3, ""2025"": 3, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.005093, ""2020"": 0.009188, ""2021"": 0.002677, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.006897, ""2025"": 0.005484, ""2026"": 0.012346}",0.005659,0.00060375,,not_found
biotin-14-datp,Jena Bioscience,Cat# NU-835-BIO14,8,"2017,2019,2020,2022,2026","{""2017"": 1, ""2019"": 3, ""2020"": 2, ""2022"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2019"": 0.005093, ""2020"": 0.003063, ""2022"": 0.00156, ""2026"": 0.012346}",0.005647,0.00066228,,not_found
ack lysis buffer,Gibco,Cat# A1049201,22,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 1, ""2020"": 2, ""2021"": 2, ""2022"": 1, ""2023"": 2, ""2024"": 3, ""2025"": 9, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.006897, ""2025"": 0.016453, ""2026"": 0.012346}",0.005646,0.00152616,,not_found
nupage™ lds sample buffer,Invitrogen,Cat#NP0007,11,"2019,2021,2022,2023,2026","{""2019"": 1, ""2021"": 1, ""2022"": 6, ""2023"": 2, ""2026"": 1}","{""2019"": 0.001698, ""2021"": 0.001339, ""2022"": 0.00936, ""2023"": 0.003484, ""2026"": 0.012346}",0.005645,0.001522,,not_found
mfresr,STEMCELL Technologies,05855,7,"2019,2022,2023,2024,2025,2026","{""2019"": 1, ""2022"": 1, ""2023"": 1, ""2024"": 1, ""2025"": 1, ""2026"": 2}","{""2019"": 0.001698, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.024691}",0.005636,0.00214189,,not_found
geltrex,Thermo Fisher Scientific,Cat# A1413302,23,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 2, ""2020"": 2, ""2021"": 4, ""2022"": 2, ""2023"": 3, ""2024"": 2, ""2025"": 6, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.010969, ""2026"": 0.012346}",0.005635,0.00107484,,not_found
opti-mem reduced serum medium,Thermo Fisher Scientific,Cat#31985070,21,"2019,2020,2021,2022,2023,2025","{""2019"": 2, ""2020"": 3, ""2021"": 4, ""2022"": 5, ""2023"": 3, ""2025"": 4}","{""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.005355, ""2022"": 0.0078, ""2023"": 0.005226, ""2025"": 0.007313}",0.005614,0.00058553,,not_found
ttx,Tocris,Cat#1078,26,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 3, ""2021"": 3, ""2022"": 4, ""2023"": 5, ""2024"": 4, ""2025"": 3}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.004016, ""2022"": 0.00624, ""2023"": 0.008711, ""2024"": 0.009195, ""2025"": 0.005484}",0.005605,0.00048656,4368-28-9,name
dpnii,NEB,Cat#R0543L,12,"2017,2018,2019,2020,2021,2025","{""2017"": 3, ""2018"": 1, ""2019"": 3, ""2020"": 1, ""2021"": 3, ""2025"": 1}","{""2017"": 0.018519, ""2018"": 0.002639, ""2019"": 0.005093, ""2020"": 0.001531, ""2021"": 0.004016, ""2025"": 0.001828}",0.005604,-0.00131923,,not_found
concanavalin a,Sigma-Aldrich,L7647-25MG,20,"2017,2018,2019,2020,2021,2022,2023,2025","{""2017"": 2, ""2018"": 3, ""2019"": 2, ""2020"": 3, ""2021"": 2, ""2022"": 2, ""2023"": 3, ""2025"": 3}","{""2017"": 0.012346, ""2018"": 0.007916, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00312, ""2023"": 0.005226, ""2025"": 0.005484}",0.005595,-0.000646,11028-71-0,name
thrombin,Sigma-Aldrich,Cat# T6884,18,"2017,2019,2020,2021,2022,2023,2024,2026","{""2017"": 1, ""2019"": 2, ""2020"": 1, ""2021"": 4, ""2022"": 2, ""2023"": 6, ""2024"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2019"": 0.003396, ""2020"": 0.001531, ""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.010453, ""2024"": 0.002299, ""2026"": 0.012346}",0.005584,0.00064312,,not_found
pepsin,Sigma,Cat#P6887,8,"2020,2021,2022,2026","{""2020"": 2, ""2021"": 4, ""2022"": 1, ""2026"": 1}","{""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00156, ""2026"": 0.012346}",0.005581,0.00155767,,not_found
sodium selenite,Sigma-Aldrich,Cat#S5261,24,"2017,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2019"": 3, ""2020"": 3, ""2021"": 5, ""2022"": 2, ""2023"": 3, ""2024"": 2, ""2025"": 5}","{""2017"": 0.006173, ""2019"": 0.005093, ""2020"": 0.004594, ""2021"": 0.006693, ""2022"": 0.00312, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.009141}",0.00558,0.00015473,10102-18-8,name
epo,R&D,Cat#287-TC-500,7,"2019,2021,2025,2026","{""2019"": 4, ""2021"": 1, ""2025"": 1, ""2026"": 1}","{""2019"": 0.006791, ""2021"": 0.001339, ""2025"": 0.001828, ""2026"": 0.012346}",0.005576,0.00050159,,not_found
complete™ protease inhibitor cocktail,Sigma-Aldrich,Cat#11697498001,11,"2018,2019,2021,2022,2024,2026","{""2018"": 3, ""2019"": 2, ""2021"": 1, ""2022"": 1, ""2024"": 3, ""2026"": 1}","{""2018"": 0.007916, ""2019"": 0.003396, ""2021"": 0.001339, ""2022"": 0.00156, ""2024"": 0.006897, ""2026"": 0.012346}",0.005575,0.00068689,,not_found
bamhi,New England Biolabs,Cat# R0136S,20,"2018,2019,2020,2021,2022,2024,2025,2026","{""2018"": 2, ""2019"": 2, ""2020"": 2, ""2021"": 6, ""2022"": 3, ""2024"": 1, ""2025"": 3, ""2026"": 1}","{""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.008032, ""2022"": 0.00468, ""2024"": 0.002299, ""2025"": 0.005484, ""2026"": 0.012346}",0.005572,0.00051895,,not_found
t4 pnk,NEB,M0201S,26,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 3, ""2021"": 2, ""2022"": 6, ""2023"": 3, ""2024"": 3, ""2025"": 5}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00936, ""2023"": 0.005226, ""2024"": 0.006897, ""2025"": 0.009141}",0.005567,0.00055123,,not_found
streptavidin-hrp,Abcam,Ref #21132,18,"2020,2021,2022,2023,2025","{""2020"": 3, ""2021"": 6, ""2022"": 4, ""2023"": 2, ""2025"": 3}","{""2020"": 0.004594, ""2021"": 0.008032, ""2022"": 0.00624, ""2023"": 0.003484, ""2025"": 0.005484}",0.005567,-0.00019256,,not_found
pierce ecl western blotting substrate,Thermo Fisher Scientific,Cat# 32106,19,"2018,2019,2020,2021,2023,2024,2025,2026","{""2018"": 2, ""2019"": 1, ""2020"": 5, ""2021"": 2, ""2023"": 3, ""2024"": 1, ""2025"": 4, ""2026"": 1}","{""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.007657, ""2021"": 0.002677, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.007313, ""2026"": 0.012346}",0.005562,0.00061586,,not_found
mem neaa,Gibco,Cat#2203945,23,"2018,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2020"": 3, ""2021"": 6, ""2022"": 5, ""2023"": 2, ""2024"": 3, ""2025"": 3}","{""2018"": 0.002639, ""2020"": 0.004594, ""2021"": 0.008032, ""2022"": 0.0078, ""2023"": 0.003484, ""2024"": 0.006897, ""2025"": 0.005484}",0.005561,0.00033043,,not_found
ferrostatin-1,Sigma-Aldrich,SML0583,13,"2020,2022,2023,2024,2025,2026","{""2020"": 1, ""2022"": 4, ""2023"": 1, ""2024"": 1, ""2025"": 5, ""2026"": 1}","{""2020"": 0.001531, ""2022"": 0.00624, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.009141, ""2026"": 0.012346}",0.00555,0.00152928,347174-05-4,name
hydroxylamine,Sigma-Aldrich,Cat# 467804,13,"2019,2020,2021,2023,2024,2026","{""2019"": 1, ""2020"": 1, ""2021"": 2, ""2023"": 6, ""2024"": 2, ""2026"": 1}","{""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.002677, ""2023"": 0.010453, ""2024"": 0.004598, ""2026"": 0.012346}",0.00555,0.0015114,7803-49-8,name
vectashield antifade mounting medium,Vector Laboratories,H-1000–10,23,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 2, ""2019"": 1, ""2020"": 4, ""2021"": 4, ""2022"": 5, ""2023"": 2, ""2024"": 1, ""2025"": 3, ""2026"": 1}","{""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.006126, ""2021"": 0.005355, ""2022"": 0.0078, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.005484, ""2026"": 0.012346}",0.005541,0.00050184,,not_found
human epidermal growth factor,Sigma-Aldrich,78006,7,"2021,2023,2025,2026","{""2021"": 2, ""2023"": 2, ""2025"": 2, ""2026"": 1}","{""2021"": 0.002677, ""2023"": 0.003484, ""2025"": 0.003656, ""2026"": 0.012346}",0.005541,0.00151676,62253-63-8,name
r848,Invivogen,Cat#tlrl-r848-5,22,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 1, ""2020"": 4, ""2021"": 4, ""2022"": 3, ""2023"": 1, ""2024"": 5, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.006126, ""2021"": 0.005355, ""2022"": 0.00468, ""2023"": 0.001742, ""2024"": 0.011494, ""2025"": 0.003656, ""2026"": 0.012346}",0.005526,0.00086382,144875-48-9,name
ddm,Anatrace,Cat#D310,7,"2018,2020,2021,2026","{""2018"": 1, ""2020"": 2, ""2021"": 3, ""2026"": 1}","{""2018"": 0.002639, ""2020"": 0.003063, ""2021"": 0.004016, ""2026"": 0.012346}",0.005516,0.00130171,,not_found
4% paraformaldehyde,Thermo Fisher Scientific,Cat# PF101 RRID: N/A,19,"2020,2021,2022,2023,2024,2025","{""2020"": 4, ""2021"": 3, ""2022"": 1, ""2023"": 3, ""2024"": 3, ""2025"": 5}","{""2020"": 0.006126, ""2021"": 0.004016, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.006897, ""2025"": 0.009141}",0.005494,0.0007824,,not_found
kapa hifi hotstart readymix,Roche,KK2602,23,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 2, ""2020"": 5, ""2021"": 4, ""2022"": 4, ""2023"": 2, ""2024"": 2, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.007657, ""2021"": 0.005355, ""2022"": 0.00624, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.003656, ""2026"": 0.012346}",0.005486,0.00052703,,not_found
ampure xp,Beckman Coulter,Cat#A63881,21,"2019,2020,2021,2022,2023,2024,2025,2026","{""2019"": 1, ""2020"": 3, ""2021"": 7, ""2022"": 3, ""2023"": 3, ""2024"": 1, ""2025"": 2, ""2026"": 1}","{""2019"": 0.001698, ""2020"": 0.004594, ""2021"": 0.009371, ""2022"": 0.00468, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.003656, ""2026"": 0.012346}",0.005484,0.00058543,,not_found
protein g dynabeads,Invitrogen,Cat#10004D,24,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 3, ""2019"": 4, ""2020"": 1, ""2021"": 4, ""2022"": 1, ""2023"": 4, ""2024"": 2, ""2025"": 5}","{""2018"": 0.007916, ""2019"": 0.006791, ""2020"": 0.001531, ""2021"": 0.005355, ""2022"": 0.00156, ""2023"": 0.006969, ""2024"": 0.004598, ""2025"": 0.009141}",0.005483,0.00012055,,not_found
ibmx,Sigma-Aldrich,I5879,23,"2017,2018,2019,2020,2021,2022,2024,2025","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 5, ""2021"": 4, ""2022"": 4, ""2024"": 3, ""2025"": 3}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.007657, ""2021"": 0.005355, ""2022"": 0.00624, ""2024"": 0.006897, ""2025"": 0.005484}",0.00548,0.00023014,28822-58-4,sigma_sid
acetone,Sigma,Cat#179124,26,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 3, ""2021"": 6, ""2022"": 2, ""2023"": 2, ""2024"": 3, ""2025"": 6}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.008032, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.006897, ""2025"": 0.010969}",0.005478,0.00051103,67-64-1,sigma_sid
brilliant stain buffer,BD Biosciences,Cat#563794,20,"2019,2020,2021,2022,2023,2024,2025,2026","{""2019"": 1, ""2020"": 2, ""2021"": 5, ""2022"": 3, ""2023"": 3, ""2024"": 2, ""2025"": 3, ""2026"": 1}","{""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.006693, ""2022"": 0.00468, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.005484, ""2026"": 0.012346}",0.005474,0.00096313,,not_found
gdnf,PeproTech,Cat# 450-10,19,"2017,2018,2019,2020,2021,2023,2024,2025,2026","{""2017"": 1, ""2018"": 2, ""2019"": 1, ""2020"": 3, ""2021"": 2, ""2023"": 5, ""2024"": 1, ""2025"": 3, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.004594, ""2021"": 0.002677, ""2023"": 0.008711, ""2024"": 0.002299, ""2025"": 0.005484, ""2026"": 0.012346}",0.005473,0.00045704,,not_found
prolong gold antifade mountant with dapi,Invitrogen,Cat# P36931,26,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 5, ""2020"": 4, ""2021"": 4, ""2022"": 3, ""2023"": 5, ""2024"": 1, ""2025"": 3}","{""2018"": 0.002639, ""2019"": 0.008489, ""2020"": 0.006126, ""2021"": 0.005355, ""2022"": 0.00468, ""2023"": 0.008711, ""2024"": 0.002299, ""2025"": 0.005484}",0.005473,-4.7e-05,,not_found
lysyl endopeptidase,Wako,Cat# 129-02541,19,"2017,2019,2020,2022,2023,2024,2025","{""2017"": 1, ""2019"": 4, ""2020"": 3, ""2022"": 1, ""2023"": 6, ""2024"": 3, ""2025"": 1}","{""2017"": 0.006173, ""2019"": 0.006791, ""2020"": 0.004594, ""2022"": 0.00156, ""2023"": 0.010453, ""2024"": 0.006897, ""2025"": 0.001828}",0.005471,-0.00017726,,not_found
phenylmethanesulfonyl fluoride,Sigma-Aldrich,Cat# P7626,23,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 2, ""2018"": 2, ""2019"": 4, ""2020"": 2, ""2021"": 4, ""2022"": 1, ""2023"": 3, ""2024"": 1, ""2025"": 4}","{""2017"": 0.012346, ""2018"": 0.005277, ""2019"": 0.006791, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.007313}",0.00547,-0.00056165,329-98-6,sigma_sid
ammonium acetate,Sigma Aldrich,Cat# 533004,24,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 3, ""2019"": 5, ""2020"": 5, ""2021"": 1, ""2022"": 2, ""2023"": 4, ""2024"": 2, ""2025"": 2}","{""2018"": 0.007916, ""2019"": 0.008489, ""2020"": 0.007657, ""2021"": 0.001339, ""2022"": 0.00312, ""2023"": 0.006969, ""2024"": 0.004598, ""2025"": 0.003656}",0.005468,-0.00058994,631-61-8,name
dmem media,Thermo Fisher Scientific,Cat#10566016,12,"2018,2019,2020,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 2, ""2020"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 2, ""2025"": 1, ""2026"": 2}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.001531, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.001828, ""2026"": 0.024691}",0.005466,0.00148892,,not_found
micrococcal nuclease,NEB,M0247S,24,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 2, ""2019"": 8, ""2020"": 1, ""2021"": 1, ""2022"": 4, ""2023"": 4, ""2024"": 3, ""2025"": 1}","{""2018"": 0.005277, ""2019"": 0.013582, ""2020"": 0.001531, ""2021"": 0.001339, ""2022"": 0.00624, ""2023"": 0.006969, ""2024"": 0.006897, ""2025"": 0.001828}",0.005458,-0.00043283,,not_found
