normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
l-glutamine,Thermo Fisher Scientific,Cat# 25030081,251,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 19, ""2019"": 22, ""2020"": 28, ""2021"": 37, ""2022"": 34, ""2023"": 25, ""2024"": 37, ""2025"": 39, ""2026"": 5}","{""2017"": 0.030864, ""2018"": 0.050132, ""2019"": 0.037351, ""2020"": 0.042879, ""2021"": 0.049531, ""2022"": 0.053042, ""2023"": 0.043554, ""2024"": 0.085057, ""2025"": 0.071298, ""2026"": 0.061728}",0.052544,0.00406064,56-85-9,name
proteinase k,Thermo Fisher Scientific,P8107S,241,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 9, ""2018"": 13, ""2019"": 35, ""2020"": 23, ""2021"": 30, ""2022"": 36, ""2023"": 37, ""2024"": 22, ""2025"": 31, ""2026"": 5}","{""2017"": 0.055556, ""2018"": 0.034301, ""2019"": 0.059423, ""2020"": 0.035222, ""2021"": 0.040161, ""2022"": 0.056162, ""2023"": 0.06446, ""2024"": 0.050575, ""2025"": 0.056673, ""2026"": 0.061728}",0.051426,0.00164627,,not_found
tamoxifen,Sigma-Aldrich,Cat# T5648,217,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 12, ""2018"": 14, ""2019"": 20, ""2020"": 24, ""2021"": 34, ""2022"": 26, ""2023"": 23, ""2024"": 26, ""2025"": 32, ""2026"": 6}","{""2017"": 0.074074, ""2018"": 0.036939, ""2019"": 0.033956, ""2020"": 0.036753, ""2021"": 0.045515, ""2022"": 0.040562, ""2023"": 0.04007, ""2024"": 0.05977, ""2025"": 0.058501, ""2026"": 0.074074}",0.050021,0.00172726,10540-29-1,sigma_sid
sodium pyruvate,Gibco,11360070,216,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 14, ""2019"": 22, ""2020"": 13, ""2021"": 29, ""2022"": 32, ""2023"": 33, ""2024"": 29, ""2025"": 35, ""2026"": 5}","{""2017"": 0.024691, ""2018"": 0.036939, ""2019"": 0.037351, ""2020"": 0.019908, ""2021"": 0.038822, ""2022"": 0.049922, ""2023"": 0.057491, ""2024"": 0.066667, ""2025"": 0.063985, ""2026"": 0.061728}",0.045751,0.00480655,113-24-6,name
polybrene,Sigma-Aldrich,Cat# TR-1003-G,181,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 16, ""2019"": 17, ""2020"": 15, ""2021"": 27, ""2022"": 21, ""2023"": 27, ""2024"": 14, ""2025"": 36, ""2026"": 8}","{""2018"": 0.042216, ""2019"": 0.028862, ""2020"": 0.022971, ""2021"": 0.036145, ""2022"": 0.032761, ""2023"": 0.047038, ""2024"": 0.032184, ""2025"": 0.065814, ""2026"": 0.098765}",0.045195,0.00610615,,not_found
trizol,Invitrogen,15596026,221,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 6, ""2018"": 18, ""2019"": 23, ""2020"": 26, ""2021"": 34, ""2022"": 23, ""2023"": 24, ""2024"": 19, ""2025"": 45, ""2026"": 3}","{""2017"": 0.037037, ""2018"": 0.047493, ""2019"": 0.039049, ""2020"": 0.039816, ""2021"": 0.045515, ""2022"": 0.035881, ""2023"": 0.041812, ""2024"": 0.043678, ""2025"": 0.082267, ""2026"": 0.037037}",0.044959,0.00159341,,not_found
dmso,Sigma-Aldrich,Cat# D2650,209,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 13, ""2019"": 17, ""2020"": 16, ""2021"": 31, ""2022"": 30, ""2023"": 30, ""2024"": 28, ""2025"": 36, ""2026"": 6}","{""2017"": 0.012346, ""2018"": 0.034301, ""2019"": 0.028862, ""2020"": 0.024502, ""2021"": 0.041499, ""2022"": 0.046802, ""2023"": 0.052265, ""2024"": 0.064368, ""2025"": 0.065814, ""2026"": 0.074074}",0.044483,0.00631674,67-68-5,sigma_sid
tween 20,Sigma-Aldrich,P1379,187,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 5, ""2019"": 10, ""2020"": 17, ""2021"": 15, ""2022"": 35, ""2023"": 31, ""2024"": 30, ""2025"": 38, ""2026"": 6}","{""2018"": 0.013193, ""2019"": 0.016978, ""2020"": 0.026034, ""2021"": 0.02008, ""2022"": 0.054602, ""2023"": 0.054007, ""2024"": 0.068966, ""2025"": 0.06947, ""2026"": 0.074074}",0.044156,0.00867986,,not_found
glutamax,Gibco,Cat# 35050061,181,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 5, ""2019"": 16, ""2020"": 17, ""2021"": 26, ""2022"": 26, ""2023"": 23, ""2024"": 21, ""2025"": 36, ""2026"": 8}","{""2017"": 0.018519, ""2018"": 0.013193, ""2019"": 0.027165, ""2020"": 0.026034, ""2021"": 0.034806, ""2022"": 0.040562, ""2023"": 0.04007, ""2024"": 0.048276, ""2025"": 0.065814, ""2026"": 0.098765}",0.04132,0.00753932,39537-23-0,name
protease inhibitor cocktail,Sigma-Aldrich,Cat# P8340,174,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 9, ""2018"": 7, ""2019"": 19, ""2020"": 20, ""2021"": 27, ""2022"": 20, ""2023"": 16, ""2024"": 20, ""2025"": 30, ""2026"": 6}","{""2017"": 0.055556, ""2018"": 0.01847, ""2019"": 0.032258, ""2020"": 0.030628, ""2021"": 0.036145, ""2022"": 0.031201, ""2023"": 0.027875, ""2024"": 0.045977, ""2025"": 0.054845, ""2026"": 0.074074}",0.040703,0.00288899,,not_found
